Time,SiO2,Al2O3,Fe2O3,CaO,MgO,K2O,Na2O,SO3,Sum,LSF,SM,AM,C3S,C2S,C3A,C4AF,Liq_phase,ASR,T_alk,M_SO3,Excess_SO3,Litre_Weight,F_CaO,Temp
07:00,21.56,5.38,4.15,63.60,2.18,0.75,0.12,1.29,99.03,91.62,2.26,1.30,49.26,24.65,7.24,12.63,28.27,1.48,0.61,1.80,574,1260,1.37,112
08:00,21.60,5.36,4.11,63.75,2.10,0.78,0.12,1.38,99.20,91.76,2.28,1.30,49.50,24.58,7.25,12.51,28.08,1.53,0.63,1.86,639,1250,1.32,108
09:00,21.54,5.44,4.14,63.51,2.18,0.76,0.12,1.33,99.02,91.48,2.25,1.31,48.54,25.13,7.41,12.60,28.44,1.51,0.62,1.84,606,1260,1.29,113
10:00,21.59,5.37,4.17,63.70,2.14,0.76,0.12,1.31,99.16,91.66,2.26,1.29,49.42,24.62,7.17,12.69,28.26,1.49,0.62,1.81,586,1240,1.47,106
11:00,21.52,5.39,4.16,63.49,2.17,0.78,0.12,1.39,99.02,91.59,2.25,1.30,48.75,24.92,7.24,12.66,28.35,1.54,0.63,1.88,649,1260,1.42,110
12:00,21.55,5.40,4.14,63.64,2.19,0.79,0.12,1.41,99.24,91.70,2.26,1.30,49.04,24.79,7.31,12.60,28.36,1.55,0.64,1.88,660,1250,1.44,115
13:00,21.48,5.38,4.17,63.42,2.26,0.80,0.12,1.40,99.03,91.64,2.25,1.29,48.79,24.77,7.20,12.69,28.45,1.52,0.65,1.85,642,1250,1.38,108
14:00,21.48,5.36,4.11,63.42,2.10,0.75,0.12,1.25,99.24,91.92,2.28,1.31,49.87,25.13,7.41,12.75,28.45,1.58,0.65,1.92,679,1270,1.47,115
15:00,21.51,5.37,4.19,63.56,2.19,0.78,0.12,1.42,99.14,91.73,2.25,1.28,49.12,24.62,7.14,12.75,28.37,1.58,0.63,1.92,679,1240,1.45,114
16:00,21.50,5.39,4.16,63.60,2.20,0.78,0.12,1.30,99.05,91.82,2.25,1.30,49.61,24.22,7.24,12.66,28.38,1.44,0.63,1.75,559,1230,1.45,114
17:00,21.50,5.39,4.16,63.60,2.20,0.78,0.12,1.30,99.05,91.82,2.25,1.30,49.61,24.22,7.24,12.66,28.38,1.44,0.63,1.75,559,1240,1.45,108
18:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,108
19:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,110
20:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,110
21:00,21.54,5.36,4.15,63.62,2.26,0.76,0.12,1.25,99.06,91.76,2.26,1.29,49.74,24.23,7.18,12.63,28.30,1.42,0.62,1.73,526,1260,1.38,110
22:00,21.54,5.36,4.15,63.62,2.26,0.76,0.12,1.25,99.06,91.76,2.26,1.29,49.74,24.23,7.18,12.63,28.30,1.42,0.62,1.73,526,1270,1.35,112
23:00,21.48,5.37,4.14,63.58,2.21,0.77,0.12,1.29,98.96,91.92,2.26,1.30,49.87,23.96,7.23,12.60,28.27,1.45,0.63,1.76,557,1270,1.39,111
00:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,108
01:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,110
02:00,21.54,5.36,4.15,63.62,2.26,0.76,0.12,1.25,99.06,91.76,2.26,1.29,49.74,24.23,7.18,12.63,28.30,1.42,0.62,1.73,526,1260,1.38,110
03:00,21.54,5.36,4.15,63.62,2.26,0.76,0.12,1.25,99.06,91.76,2.26,1.29,49.74,24.23,7.18,12.63,28.30,1.42,0.62,1.73,526,1270,1.35,112
04:00,21.48,5.37,4.14,63.58,2.21,0.77,0.12,1.29,98.96,91.92,2.26,1.30,49.87,23.96,7.23,12.60,28.27,1.45,0.63,1.76,557,1270,1.39,111
05:00,21.48,5.37,4.14,63.58,2.21,0.77,0.12,1.29,98.96,91.92,2.26,1.30,49.87,23.96,7.23,12.60,28.27,1.45,0.63,1.76,557,1252,1.39,111
06:00,21.52,5.38,4.17,63.68,2.23,0.77,0.12,1.31,99.18,91.87,2.25,1.29,49.80,24.13,7.20,12.69,28.39,1.47,0.63,1.79,577,1240,1.40,108
